



('0.39', ', ', '05/06/2023 16:50:20')
('0.61', ', ', '05/06/2023 16:50:20')
('0.40', ', ', '05/06/2023 16:50:21')
('0.65', ', ', '05/06/2023 16:50:22')
('0.39', ', ', '05/06/2023 16:50:23')
('0.51', ', ', '05/06/2023 16:50:23')
('0.40', ', ', '05/06/2023 16:50:24')
('0.20', ', ', '05/06/2023 16:50:25')
('0.18', ', ', '05/06/2023 16:50:26')
('0.19', ', ', '05/06/2023 16:50:27')
('0.18', ', ', '05/06/2023 16:50:27')
('1.05', ', ', '05/06/2023 16:50:28')
('0.68', ', ', '05/06/2023 16:50:29')
('0.39', ', ', '05/06/2023 16:50:30')
('0.63', ', ', '05/06/2023 16:50:30')
('0.38', ', ', '05/06/2023 16:50:31')
('0.59', ', ', '05/06/2023 16:50:32')
('0.40', ', ', '05/06/2023 16:50:33')
('0.59', ', ', '05/06/2023 16:50:34')
('0.45', ', ', '05/06/2023 16:50:34')
('0.53', ', ', '05/06/2023 16:50:35')
('0.47', ', ', '05/06/2023 16:50:36')
('0.45', ', ', '05/06/2023 16:50:37')
('0.55', ', ', '05/06/2023 16:50:37')
('0.43', ', ', '05/06/2023 16:50:38')
('0.61', ', ', '05/06/2023 16:50:39')
('0.42', ', ', '05/06/2023 16:50:40')
('0.19', ', ', '05/06/2023 16:50:41')
('0.20', ', ', '05/06/2023 16:50:41')
('0.85', ', ', '05/06/2023 16:50:42')
('0.40', ', ', '05/06/2023 16:50:43')
('0.37', ', ', '05/06/2023 16:50:44')
('0.57', ', ', '05/06/2023 16:50:44')
('0.37', ', ', '05/06/2023 16:50:45')
('0.35', ', ', '05/06/2023 16:50:46')
('0.63', ', ', '05/06/2023 16:50:47')
('0.42', ', ', '05/06/2023 16:50:48')
('0.40', ', ', '05/06/2023 16:50:48')
('0.62', ', ', '05/06/2023 16:50:49')
('0.38', ', ', '05/06/2023 16:50:50')
('0.38', ', ', '05/06/2023 16:50:51')
('0.51', ', ', '05/06/2023 16:50:51')
('0.19', ', ', '05/06/2023 16:50:52')
('0.19', ', ', '05/06/2023 16:50:53')
('0.19', ', ', '05/06/2023 16:50:54')
('0.18', ', ', '05/06/2023 16:50:54')
('0.18', ', ', '05/06/2023 16:50:55')
('0.19', ', ', '05/06/2023 16:50:56')
('0.20', ', ', '05/06/2023 16:50:57')
('0.21', ', ', '05/06/2023 16:50:58')
('0.49', ', ', '05/06/2023 16:50:58')
('0.62', ', ', '05/06/2023 16:50:59')
('0.41', ', ', '05/06/2023 16:51:00')
('0.38', ', ', '05/06/2023 16:51:01')
('0.61', ', ', '05/06/2023 16:51:01')
('0.45', ', ', '05/06/2023 16:51:02')
('0.35', ', ', '05/06/2023 16:51:03')
('0.55', ', ', '05/06/2023 16:51:04')
('0.44', ', ', '05/06/2023 16:51:05')
('0.37', ', ', '05/06/2023 16:51:05')
('0.47', ', ', '05/06/2023 16:51:06')
('0.39', ', ', '05/06/2023 16:51:07')
('0.25', ', ', '05/06/2023 16:51:08')
('0.19', ', ', '05/06/2023 16:51:08')
('0.19', ', ', '05/06/2023 16:51:09')
('0.19', ', ', '05/06/2023 16:51:10')
('0.18', ', ', '05/06/2023 16:51:11')
('0.18', ', ', '05/06/2023 16:51:12')
('0.19', ', ', '05/06/2023 16:51:12')
('0.18', ', ', '05/06/2023 16:51:13')
('0.43', ', ', '05/06/2023 16:51:14')
('0.44', ', ', '05/06/2023 16:51:15')
('0.41', ', ', '05/06/2023 16:51:15')
('0.68', ', ', '05/06/2023 16:51:16')
('0.42', ', ', '05/06/2023 16:51:17')
('0.37', ', ', '05/06/2023 16:51:18')
('0.58', ', ', '05/06/2023 16:51:19')
('0.41', ', ', '05/06/2023 16:51:19')
('0.39', ', ', '05/06/2023 16:51:20')
('0.18', ', ', '05/06/2023 16:51:21')
('0.54', ', ', '05/06/2023 16:51:22')
('0.56', ', ', '05/06/2023 16:51:22')
('0.47', ', ', '05/06/2023 16:51:23')
('0.19', ', ', '05/06/2023 16:51:24')
('0.18', ', ', '05/06/2023 16:51:25')
('0.19', ', ', '05/06/2023 16:51:26')
('0.18', ', ', '05/06/2023 16:51:26')
('0.19', ', ', '05/06/2023 16:51:27')
('0.19', ', ', '05/06/2023 16:51:28')
('0.19', ', ', '05/06/2023 16:51:29')
('0.18', ', ', '05/06/2023 16:51:29')
('0.18', ', ', '05/06/2023 16:51:30')
('0.18', ', ', '05/06/2023 16:51:31')
('0.17', ', ', '05/06/2023 16:51:32')
('0.17', ', ', '05/06/2023 16:51:33')
('0.18', ', ', '05/06/2023 16:51:33')
('0.18', ', ', '05/06/2023 16:51:34')
('0.17', ', ', '05/06/2023 16:51:35')
('0.19', ', ', '05/06/2023 16:51:36')
('0.19', ', ', '05/06/2023 16:51:36')
('0.18', ', ', '05/06/2023 16:51:37')
('0.17', ', ', '05/06/2023 16:51:38')
('0.18', ', ', '05/06/2023 16:51:39')
('0.19', ', ', '05/06/2023 16:51:39')
('0.19', ', ', '05/06/2023 16:51:40')
('0.19', ', ', '05/06/2023 16:51:41')
('0.19', ', ', '05/06/2023 16:51:42')
('0.19', ', ', '05/06/2023 16:51:43')
('0.20', ', ', '05/06/2023 16:51:43')
('0.18', ', ', '05/06/2023 16:51:44')
('0.19', ', ', '05/06/2023 16:51:45')
('0.20', ', ', '05/06/2023 16:51:46')
('0.19', ', ', '05/06/2023 16:51:46')
('0.21', ', ', '05/06/2023 16:51:47')
('0.18', ', ', '05/06/2023 16:51:48')
('0.19', ', ', '05/06/2023 16:51:49')
('0.18', ', ', '05/06/2023 16:51:50')
('0.17', ', ', '05/06/2023 16:51:50')
('0.19', ', ', '05/06/2023 16:51:51')
('0.19', ', ', '05/06/2023 16:51:52')
('0.19', ', ', '05/06/2023 16:51:53')
('0.18', ', ', '05/06/2023 16:51:53')
('1.25', ', ', '05/06/2023 16:51:54')
('0.49', ', ', '05/06/2023 16:51:55')
('0.35', ', ', '05/06/2023 16:51:56')
('0.20', ', ', '05/06/2023 16:51:57')
('0.19', ', ', '05/06/2023 16:51:57')
('0.20', ', ', '05/06/2023 16:51:58')
('0.18', ', ', '05/06/2023 16:51:59')
('0.19', ', ', '05/06/2023 16:52:00')
('0.18', ', ', '05/06/2023 16:52:00')
('0.18', ', ', '05/06/2023 16:52:01')
('0.19', ', ', '05/06/2023 16:52:02')
('0.18', ', ', '05/06/2023 16:52:03')
('0.18', ', ', '05/06/2023 16:52:04')
